"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Info","Mfg","Mfg_1","PN","PN_1","mfg_product-variant:85F/4G","pn_product-variant: 85F/4G"
"1","16","C1, C19, C25, C48, C49, C52, C53, C56, C58, C60, C62, C63, C66, C67, C74, C76","10nF","Device:C","gkl_dipol:C_0201_0603Metric","~","","Samsung Electro-Mechanics","YAGEO","CL03B103KP3NNNC","CC0201KRX5R7BB103","",""
"2","24","C2, C4, C20, C26, C27, C28, C30, C31, C32, C33, C50, C51, C54, C55, C57, C59, C61, C64, C65, C68, C69, C70, C71, C75","100nF","Device:C","gkl_dipol:C_0201_0603Metric","~","","Samsung Electro-Mechanics","YAGEO","CL03A104KQ3NNNC","CC0201KRX5R7BB104","",""
"3","7","C3, C21, C22, C34, C35, C36, C37","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","Taiyo Yuden","YAGEO","JMK105C6105KV-F","CC0402KRX5R7BB105","",""
"4","3","C5, C10, C18","10pF","Device:C","gkl_dipol:C_0201_0603Metric","~","","Samsung Electro-Mechanics","YAGEO","CL03C100JA3GNNC","CC0201DRNPO8BN100","",""
"5","10","C6, C7, C8, C9, C11, C14, C15, C16, C17, C29","10uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","Murata Electronics North America","YAGEO","GRM155R60J106ME15D","CC0402MRX5R5BB106","",""
"6","5","C12, C13, C46, C47, C77","4.7uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","10V, X5R","Murata Electronics North America","YAGEO","GRM155R61A475MEAAD","CC0402KRX5R6BB475","",""
"7","2","C23, C24","22uF","Device:C","Capacitor_SMD:C_0603_1608Metric","~","","Murata Electronics North America","YAGEO","GRM188R60J226MEA0D","CC0603MRX5R5BB226","",""
"8","2","D1, D2","LED_ARGB","Device:LED_ARGB","gkl_led:0404LED_RGB","~","","OSRAM Opto Semiconductors Inc.","MEIHUA","LRTB R48G-P9Q7-1+R7S5-26+N5P-68-ZB","MHPA1010RGBDT","",""
"9","1","FB1","600R","Device:Ferrite_Bead_Small","Inductor_SMD:L_0402_1005Metric","~","","Murata Electronics North America","TDK","BLM15AG601SN1D","MMZ1005S601ET000","",""
"10","2","FB2, FB3","600R","Device:L_Small","Inductor_SMD:L_0402_1005Metric","~","","Murata Electronics North America","TDK","BLM15AG601SN1D","MMZ1005S601ET000","",""
"11","6","FID1, FID2, FID3, FID4, FID5, FID6","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_0.75mm_Mask1.5mm","~","","","","DNP","","",""
"12","2","H1, H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2_Pad","~","","","","DNP","","",""
