Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0201_0603Metric",-29.392000,17.220000,90.000000,bottom
"C4","100nF","C_0201_0603Metric",-30.783000,17.220000,90.000000,bottom
"C19","10nF","C_0201_0603Metric",-29.520000,10.979999,180.000000,bottom
"C20","100nF","C_0201_0603Metric",-26.490000,11.479999,180.000000,bottom
"C25","10nF","C_0201_0603Metric",-26.740000,9.379999,270.000000,bottom
"C26","100nF","C_0201_0603Metric",-29.840000,7.629999,270.000000,bottom
"C27","100nF","C_0201_0603Metric",-45.000000,12.000000,90.000000,bottom
"C28","100nF","C_0201_0603Metric",-28.192000,17.272000,90.000000,bottom
"C29","10uF","C_0402_1005Metric",-10.417000,19.880000,270.000000,bottom
"C30","100nF","C_0201_0603Metric",-34.660000,5.460000,180.000000,bottom
"C31","100nF","C_0201_0603Metric",-44.460000,5.960000,90.000000,bottom
"C32","100nF","C_0201_0603Metric",-44.275000,14.392000,90.000000,bottom
"C33","100nF","C_0201_0603Metric",-37.150000,5.090000,180.000000,bottom
"C34","1uF","C_0402_1005Metric",-43.200000,6.020000,270.000000,bottom
"C35","1uF","C_0402_1005Metric",-45.000000,8.370000,0.000000,bottom
"C36","1uF","C_0402_1005Metric",-37.200000,17.770000,90.000000,bottom
"C37","1uF","C_0402_1005Metric",-34.650000,6.280000,180.000000,bottom
"C48","10nF","C_0201_0603Metric",-27.355700,14.198600,270.000000,bottom
"C49","10nF","C_0201_0603Metric",-28.690000,14.160500,270.000000,bottom
"C50","100nF","C_0201_0603Metric",-26.690000,12.929999,90.000000,bottom
"C51","100nF","C_0201_0603Metric",-23.690000,14.829999,90.000000,bottom
"C52","10nF","C_0201_0603Metric",-25.290000,16.979999,180.000000,bottom
"C53","10nF","C_0201_0603Metric",-23.690000,10.979999,270.000000,bottom
"C54","100nF","C_0201_0603Metric",-25.590000,13.479999,0.000000,bottom
"C55","100nF","C_0201_0603Metric",-29.140000,11.979999,180.000000,bottom
"C56","10nF","C_0201_0603Metric",-25.640000,14.479999,0.000000,bottom
"C57","100nF","C_0201_0603Metric",-25.190000,11.879999,90.000000,bottom
"C58","10nF","C_0201_0603Metric",-26.690000,14.429999,270.000000,bottom
"C59","100nF","C_0201_0603Metric",-30.048100,14.427200,0.000000,bottom
"C60","10nF","C_0201_0603Metric",-28.140000,12.979999,180.000000,bottom
"C61","100nF","C_0201_0603Metric",-27.190000,16.179999,90.000000,bottom
"C62","10nF","C_0201_0603Metric",-28.028800,14.185900,270.000000,bottom
"C63","10nF","C_0201_0603Metric",-23.690000,15.979999,180.000000,bottom
"C64","100nF","C_0201_0603Metric",-28.590000,9.529999,180.000000,bottom
"C65","100nF","C_0201_0603Metric",-26.040000,15.479999,0.000000,bottom
"C66","10nF","C_0201_0603Metric",-24.440000,9.829999,270.000000,bottom
"C67","10nF","C_0201_0603Metric",-22.910700,12.979400,0.000000,bottom
"C68","100nF","C_0201_0603Metric",-29.019400,15.455900,180.000000,bottom
"C69","100nF","C_0201_0603Metric",-28.560000,5.980000,270.000000,bottom
"C70","100nF","C_0201_0603Metric",-6.567000,18.955000,270.000000,bottom
"C71","100nF","C_0201_0603Metric",-12.687300,2.933700,0.000000,bottom
"FB1","600R","L_0402_1005Metric",-11.440000,19.879999,90.000000,bottom
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",-2.917000,16.955000,0.000000,bottom
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",-47.950000,17.800000,0.000000,bottom
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",-45.690000,3.620000,0.000000,bottom
"J4","MicroSd","molex_microsd_1040310811",-6.858000,11.505000,90.000000,bottom
"R3","51R","R_0201_0603Metric",-22.067000,10.980000,270.000000,bottom
"R5","51R","R_0201_0603Metric",-43.800000,11.600000,180.000000,bottom
"R6","51R","R_0201_0603Metric",-21.392000,10.980000,270.000000,bottom
"R13","51R","R_0201_0603Metric",-43.800000,10.925000,180.000000,bottom
"R19","240R","R_0402_1005Metric",-38.392000,14.405000,0.000000,bottom
"R27","4.7k","R_0201_0603Metric",-22.875000,13.975000,180.000000,bottom
"R28","10k","R_0201_0603Metric",-11.217000,18.255000,180.000000,bottom
"R31","1.5k","R_0201_0603Metric",-29.250000,5.975000,90.000000,bottom
"R40","10k","R_0201_0603Metric",-9.200000,20.000000,270.000000,bottom
"R41","10k","R_0201_0603Metric",-8.600000,20.000000,270.000000,bottom
"R42","10k","R_0201_0603Metric",-8.000000,20.000000,270.000000,bottom
"R43","10k","R_0201_0603Metric",-7.400000,20.000000,270.000000,bottom
"R44","10k","R_0201_0603Metric",-24.325000,17.475000,90.000000,bottom
"R45","10k","R_0201_0603Metric",-23.700000,17.475000,90.000000,bottom
"R46","5.1k","R_0201_0603Metric",-22.775000,17.500000,90.000000,bottom
"R48","51R","R_0201_0603Metric",-21.600000,13.600000,90.000000,bottom
"R49","51R","R_0201_0603Metric",-21.450000,15.500000,90.000000,bottom
"R50","51R","R_0201_0603Metric",-22.025000,15.500000,90.000000,bottom
"R51","51R","R_0201_0603Metric",-22.600000,15.500000,90.000000,bottom
"U9","74HC4067BQ","Texas_RGY_R-PVQFN-N24_EP2.05x3.1mm",-24.295000,5.670000,90.000000,bottom
