Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0201_0603Metric",46.440000,16.530000,0.000000,top
"C3","1uF","C_0402_1005Metric",46.435000,15.725000,0.000000,top
"C5","10pF","C_0201_0603Metric",14.625000,6.150000,180.000000,top
"C6","10uF","C_0402_1005Metric",17.000000,7.150000,180.000000,top
"C7","10uF","C_0402_1005Metric",16.950000,10.500000,90.000000,top
"C8","10uF","C_0402_1005Metric",15.400000,15.975000,270.000000,top
"C9","10uF","C_0402_1005Metric",16.375000,15.975000,270.000000,top
"C10","10pF","C_0201_0603Metric",16.375001,13.875000,90.000000,top
"C11","10uF","C_0402_1005Metric",10.025000,4.550000,0.000000,top
"C12","4.7uF","C_0402_1005Metric",12.823000,10.160000,0.000000,top
"C13","4.7uF","C_0402_1005Metric",7.400000,11.470000,90.000000,top
"C14","10uF","C_0402_1005Metric",14.950000,8.025000,180.000000,top
"C15","10uF","C_0402_1005Metric",11.865000,3.556000,0.000000,top
"C16","10uF","C_0402_1005Metric",14.950000,7.150000,180.000000,top
"C17","10uF","C_0402_1005Metric",11.865000,4.445001,0.000000,top
"C18","10pF","C_0201_0603Metric",12.275000,6.075000,0.000000,top
"C21","1uF","C_0402_1005Metric",34.290000,5.979999,180.000000,top
"C22","1uF","C_0402_1005Metric",41.490000,4.179999,180.000000,top
"C23","22uF","C_0603_1608Metric",35.890000,4.179999,0.000000,top
"C24","22uF","C_0603_1608Metric",44.490000,4.179999,0.000000,top
"C46","4.7uF","C_0402_1005Metric",19.330000,4.295000,90.000000,top
"C47","4.7uF","C_0402_1005Metric",22.180000,4.500000,270.000000,top
"C74","10nF","C_0201_0603Metric",35.342000,12.330000,90.000000,top
"C75","100nF","C_0201_0603Metric",34.117000,13.630000,0.000000,top
"C76","10nF","C_0201_0603Metric",48.990000,11.029999,0.000000,top
"C77","4.7uF","C_0402_1005Metric",11.450000,12.319000,0.000000,top
"D1","LED_ARGB","0404LED_RGB",2.540000,17.145000,270.000000,top
"D2","LED_ARGB","0404LED_RGB",2.540000,5.715000,270.000000,top
"FB2","600R","L_0402_1005Metric",33.690000,4.379999,270.000000,top
"FB3","600R","L_0402_1005Metric",39.390000,4.179999,180.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",10.750000,19.650000,0.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",47.100000,7.950000,0.000000,top
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",48.300000,17.550000,0.000000,top
"J3","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",2.100000,11.430000,270.000000,top
"J5","JST","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",10.700000,15.500000,0.000000,top
"L1","2.2uH","L_0805_2012Metric",14.500000,4.250000,180.000000,top
"L2","2.2uH","L_0805_2012Metric",15.000000,13.025000,90.000000,top
"L3","2.2uH","L_0805_2012Metric",12.425000,7.250000,0.000000,top
"OSC1","KC2520B48.0000C10E00","Oscilator_2.5x2.0",33.667000,11.605000,90.000000,top
"R1","1k","R_0201_0603Metric",46.430000,14.940000,180.000000,top
"R2","1k","R_0201_0603Metric",46.420000,14.230000,0.000000,top
"R4","4.7k","R_0201_0603Metric",48.990000,11.779999,180.000000,top
"R7","10k","R_0201_0603Metric",7.747000,7.860000,180.000000,top
"R8","4.7k","R_0201_0603Metric",12.061000,9.017000,270.000000,top
"R9","3.57k","R_0201_0603Metric",7.652000,14.000000,0.000000,top
"R10","56.2k","R_0201_0603Metric",9.600000,12.500000,0.000000,top
"R11","3.09k","R_0201_0603Metric",12.569000,10.922000,180.000000,top
"R12","4.32k","R_0201_0603Metric",7.652000,13.350000,0.000000,top
"R14","5.1k","R_0201_0603Metric",4.100000,6.100000,0.000000,top
"R15","120k","R_0201_0603Metric",15.675000,5.775000,90.000000,top
"R16","5.1k","R_0201_0603Metric",4.125000,16.750000,0.000000,top
"R17","100k","R_0201_0603Metric",14.625000,5.425000,180.000000,top
"R18","DNP","R_0201_0603Metric",14.775000,9.000000,0.000000,top
"R20","1.5k","R_0201_0603Metric",24.490000,19.030000,180.000000,top
"R21","20R","R_0201_0603Metric",22.967000,19.030000,0.000000,top
"R22","1.5k","R_0201_0603Metric",5.600000,18.410000,180.000000,top
"R23","4.7k","R_0201_0603Metric",5.600000,17.610000,180.000000,top
"R24","3.57k","R_0201_0603Metric",5.600000,16.810000,180.000000,top
"R25","10k","R_0201_0603Metric",8.450000,6.925000,90.000000,top
"R26","10k","R_0201_0603Metric",7.652000,12.714999,0.000000,top
"R29","20R","R_0201_0603Metric",22.967000,19.655000,180.000000,top
"R30","4.7k","R_0201_0603Metric",21.995000,6.465000,0.000000,top
"R32","10k","R_0201_0603Metric",12.928600,13.668300,270.000000,top
"R33","10k","R_0201_0603Metric",12.928601,12.255500,270.000000,top
"R34","150k","R_0201_0603Metric",17.100000,13.875000,90.000000,top
"R35","120k","R_0201_0603Metric",16.375000,12.375000,270.000000,top
"R36","DNP","R_0201_0603Metric",17.525000,3.675000,0.000000,top
"R37","360k","R_0201_0603Metric",12.275000,5.350000,0.000000,top
"R38","82k","R_0201_0603Metric",11.225000,5.700000,270.000000,top
"R39","4.7k","R_0201_0603Metric",21.995000,5.840000,0.000000,top
"SW1","SW_Push","PTS_810_SMT_Switch",47.390000,7.929999,90.000000,top
"U1","TLV62569DRL","SOT-563",17.125000,5.275000,270.000000,top
"U2","TLV62569DRL","SOT-563",15.200000,10.375000,180.000000,top
"U4","MT41K64M16TW-107_J-TR","BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm",40.340000,11.980000,180.000000,top
"U5","BQ24232","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm",9.775000,9.906000,0.000000,top
"U6","W25Q128JVP","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm",29.375000,5.730000,0.000000,top
"U7","TLV62569DRL","SOT-563",9.800000,6.375000,90.000000,top
"U10","NCP115-2.5","Texas_X2SON-4_1x1mm_P0.65mm",20.705000,4.320000,180.000000,top
