Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10nF","C_0201_0603Metric",10.889999,3.879999,270.000000,top
"C3","10uF","C_0603_1608Metric",11.690000,6.180000,270.000000,top
"C5","10nF","C_0201_0603Metric",17.389999,3.879999,270.000000,top
"C6","10uF","C_0402_1005Metric",6.990000,6.479999,90.000000,top
"C8","10uF","C_0402_1005Metric",47.090000,13.129999,180.000000,top
"C9","100nF","C_0201_0603Metric",45.340000,17.759999,270.000000,top
"C10","0.22uF","C_0201_0603Metric",48.440000,17.579999,180.000000,top
"C11","10uF","C_0402_1005Metric",48.390000,14.829999,270.000000,top
"C12","4.7uF","C_0402_1005Metric",12.190000,9.879999,0.000000,top
"C13","4.7uF","C_0402_1005Metric",5.840000,10.529999,90.000000,top
"C14","10nF","C_0201_0603Metric",20.192000,16.230000,270.000000,top
"C15","10uF","C_0402_1005Metric",13.589999,6.579999,90.000000,top
"C17","10uF","C_0402_1005Metric",12.440000,8.229999,0.000000,top
"C18","10uF","C_0402_1005Metric",16.139999,18.929999,90.000000,top
"C21","1uF","C_0402_1005Metric",33.490000,5.979999,180.000000,top
"C22","1uF","C_0402_1005Metric",40.690000,4.179999,180.000000,top
"C23","22uF","C_0603_1608Metric",35.090000,4.179999,0.000000,top
"C24","22uF","C_0603_1608Metric",43.690000,4.179999,0.000000,top
"C46","4.7uF","C_0402_1005Metric",19.617000,4.280000,0.000000,top
"C47","4.7uF","C_0402_1005Metric",19.192000,7.130000,180.000000,top
"C74","10nF","C_0201_0603Metric",34.542000,12.330000,90.000000,top
"C75","100nF","C_0201_0603Metric",33.317000,13.630000,0.000000,top
"C76","10nF","C_0201_0603Metric",48.990000,11.029999,0.000000,top
"C77","4.7uF","C_0402_1005Metric",12.240000,13.354999,90.000000,top
"D1","LED_ARGB","0404LED_RGB",1.740000,16.710000,270.000000,top
"D2","LED_ARGB","0404LED_RGB",1.800000,6.060000,270.000000,top
"FB2","600R","L_0402_1005Metric",32.890000,4.379999,270.000000,top
"FB3","600R","L_0402_1005Metric",38.590000,4.179999,180.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",10.017000,20.030000,0.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",47.392000,4.605000,0.000000,top
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",46.467000,19.080000,0.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",2.667000,11.430000,270.000000,top
"J5","JST","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",9.890000,15.479999,0.000000,top
"J6","JTAG","FTSH-105-XX-X-DV",16.890000,11.079999,90.000000,top
"L1","0.47uH","L_0805_2012Metric",16.267000,6.580000,180.000000,top
"L2","0.47uH","L_0805_2012Metric",9.189999,6.479999,180.000000,top
"L3","0.47uH","L_0805_2012Metric",18.339999,18.929999,180.000000,top
"OSC1","KC2520B48.0000C10E00","Oscilator_2.5x2.0",32.867000,11.605000,90.000000,top
"R1","100k","R_0201_0603Metric",6.389999,3.579999,180.000000,top
"R2","31.6k","R_0201_0603Metric",6.290000,4.679999,90.000000,top
"R4","4.7k","R_0201_0603Metric",48.990000,11.779999,180.000000,top
"R5","100k","R_0201_0603Metric",7.089999,4.679999,270.000000,top
"R7","10k","R_0201_0603Metric",5.800000,7.860000,180.000000,top
"R8","4.7k","R_0201_0603Metric",11.090000,8.529999,270.000000,top
"R9","3.57k","R_0201_0603Metric",6.890000,13.829999,0.000000,top
"R10","56.2k","R_0201_0603Metric",11.940000,11.879999,180.000000,top
"R11","3.06k","R_0201_0603Metric",11.940000,11.079999,180.000000,top
"R12","4.32k","R_0201_0603Metric",6.890000,13.079999,0.000000,top
"R13","100k","R_0201_0603Metric",12.990000,3.679999,180.000000,top
"R14","100k","R_0201_0603Metric",17.917000,15.055000,0.000000,top
"R15","267k","R_0201_0603Metric",12.890000,4.779999,90.000000,top
"R16","147k","R_0201_0603Metric",15.439999,17.129999,90.000000,top
"R17","100k","R_0201_0603Metric",13.689999,4.779999,270.000000,top
"R18","100k","R_0201_0603Metric",16.239999,17.129999,270.000000,top
"R20","1.5k","R_0201_0603Metric",23.690000,19.229999,180.000000,top
"R21","20R","R_0201_0603Metric",22.167000,19.030000,0.000000,top
"R22","1.5k","R_0201_0603Metric",3.800000,17.660000,180.000000,top
"R23","4.7k","R_0201_0603Metric",3.800000,16.860000,180.000000,top
"R24","3.57k","R_0201_0603Metric",3.800000,16.060000,180.000000,top
"R25","100k","R_0201_0603Metric",18.190000,3.879999,270.000000,top
"R26","10k","R_0201_0603Metric",6.890000,12.329999,0.000000,top
"R29","20R","R_0201_0603Metric",22.167000,19.655000,180.000000,top
"R30","4.7k","R_0201_0603Metric",21.017000,6.905000,270.000000,top
"R32","10k","R_0201_0603Metric",14.906700,14.706600,0.000000,top
"R33","10k","R_0201_0603Metric",16.319500,14.706600,0.000000,top
"SW1","SW_Push","PTS_810_SMT_Switch",47.390000,7.929999,90.000000,top
"U1","FAN53541","WLCSP-20_1.934x2.434mm_Layout4x5_P0.4mm",15.489999,4.379999,90.000000,top
"U2","FAN53541","WLCSP-20_1.934x2.434mm_Layout4x5_P0.4mm",8.889998,4.279999,90.000000,top
"U3","LFE5U-25F-8MG285C","csBGA_132",25.890000,13.479999,270.000000,top
"U4","MT41K64M16TW-107_J-TR","BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm",39.540000,11.980000,180.000000,top
"U5","BQ24232","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm",8.640000,9.979999,0.000000,top
"U6","W25Q128JVP","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm",24.867000,5.730000,0.000000,top
"U7","FAN53541","WLCSP-20_1.934x2.434mm_Layout4x5_P0.4mm",18.039999,16.729999,90.000000,top
"U8","TPS51206","WSON-10-1EP_2x2mm_P0.4mm",46.540000,15.479999,90.000000,top
"U10","NCP115-2.5","Texas_X2SON-4_1x1mm_P0.65mm",19.092000,5.705001,270.000000,top
