Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0201_0603Metric",28.592000,17.220000,90.000000,bottom
"C4","100nF","C_0201_0603Metric",29.983000,17.220000,90.000000,bottom
"C7","10uF","C_0402_1005Metric",8.267000,4.555000,180.000000,bottom
"C16","10uF","C_0402_1005Metric",16.042000,18.905000,90.000000,bottom
"C19","10nF","C_0201_0603Metric",28.720000,10.979999,180.000000,bottom
"C20","100nF","C_0201_0603Metric",25.690000,11.479999,180.000000,bottom
"C25","10nF","C_0201_0603Metric",25.940000,9.379999,270.000000,bottom
"C26","100nF","C_0201_0603Metric",29.040000,7.629999,270.000000,bottom
"C27","10nF","C_0201_0603Metric",45.890000,11.180000,90.000000,bottom
"C28","100nF","C_0201_0603Metric",27.392000,17.272000,90.000000,bottom
"C29","10uF","C_0402_1005Metric",10.417000,19.880000,270.000000,bottom
"C30","100nF","C_0201_0603Metric",34.990000,5.179999,270.000000,bottom
"C31","100nF","C_0201_0603Metric",42.140000,4.929999,180.000000,bottom
"C32","100nF","C_0201_0603Metric",44.342000,12.855000,0.000000,bottom
"C33","100nF","C_0201_0603Metric",37.190000,4.929999,180.000000,bottom
"C34","1uF","C_0402_1005Metric",44.390000,7.729999,0.000000,bottom
"C35","1uF","C_0402_1005Metric",44.390000,6.629999,0.000000,bottom
"C36","1uF","C_0402_1005Metric",34.917000,17.480000,180.000000,bottom
"C37","1uF","C_0402_1005Metric",33.490000,5.979999,180.000000,bottom
"C38","10nF","C_0201_0603Metric",44.990000,19.579999,180.000000,bottom
"C39","100nF","C_0201_0603Metric",47.190000,12.229999,180.000000,bottom
"C40","10nF","C_0201_0603Metric",35.367000,18.980000,90.000000,bottom
"C41","100nF","C_0201_0603Metric",46.340000,17.729999,180.000000,bottom
"C42","10nF","C_0201_0603Metric",34.367000,18.405000,180.000000,bottom
"C43","100nF","C_0201_0603Metric",34.640000,14.129999,180.000000,bottom
"C44","10nF","C_0201_0603Metric",36.542000,16.005000,270.000000,bottom
"C45","10nF","C_0201_0603Metric",42.740000,12.579999,90.000000,bottom
"C48","10nF","C_0201_0603Metric",26.555700,14.198600,270.000000,bottom
"C49","10nF","C_0201_0603Metric",27.890000,14.160500,270.000000,bottom
"C50","100nF","C_0201_0603Metric",25.890000,12.929999,90.000000,bottom
"C51","100nF","C_0201_0603Metric",22.890000,14.829999,90.000000,bottom
"C52","10nF","C_0201_0603Metric",24.490000,16.979999,180.000000,bottom
"C53","10nF","C_0201_0603Metric",22.890000,10.979999,270.000000,bottom
"C54","100nF","C_0201_0603Metric",24.790000,13.479999,0.000000,bottom
"C55","100nF","C_0201_0603Metric",28.340000,11.979999,180.000000,bottom
"C56","10nF","C_0201_0603Metric",24.840000,14.479999,0.000000,bottom
"C57","100nF","C_0201_0603Metric",24.390000,11.879999,90.000000,bottom
"C58","10nF","C_0201_0603Metric",25.890000,14.429999,270.000000,bottom
"C59","100nF","C_0201_0603Metric",29.248100,14.427200,0.000000,bottom
"C60","10nF","C_0201_0603Metric",27.340000,12.979999,180.000000,bottom
"C61","100nF","C_0201_0603Metric",26.390000,16.179999,90.000000,bottom
"C62","10nF","C_0201_0603Metric",27.228800,14.185900,270.000000,bottom
"C63","10nF","C_0201_0603Metric",22.890000,15.979999,180.000000,bottom
"C64","100nF","C_0201_0603Metric",27.790000,9.529999,180.000000,bottom
"C65","100nF","C_0201_0603Metric",25.240000,15.479999,0.000000,bottom
"C66","10nF","C_0201_0603Metric",23.640000,9.829999,270.000000,bottom
"C67","10nF","C_0201_0603Metric",22.110700,12.979400,0.000000,bottom
"C68","100nF","C_0201_0603Metric",28.219400,15.455900,180.000000,bottom
"C69","100nF","C_0201_0603Metric",26.342000,6.055000,270.000000,bottom
"C70","100nF","C_0201_0603Metric",6.567000,18.955000,270.000000,bottom
